Case ID,Activity,Resource,Start Timestamp,Complete Timestamp,Variant,Variant index,(case) creator,(case) variant,(case) variant-index,concept:name,lifecycle:transition,org:resource
2,Analyze Request for Quotation,Karel de Groot,2011/01/01 16:34:00.000,2011/01/01 16:38:00.000,Variant 20,20,Fluxicon Disco,Variant 20,20,Analyze Request for Quotation,complete,Karel de Groot
2,Amend Request for Quotation,Christian Francois,2011/01/01 17:16:00.000,2011/01/01 17:21:00.000,Variant 20,20,Fluxicon Disco,Variant 20,20,Amend Request for Quotation,complete,Christian Francois
2,Analyze Request for Quotation,Magdalena Predutta,2011/01/01 18:15:00.000,2011/01/01 18:48:00.000,Variant 20,20,Fluxicon Disco,Variant 20,20,Analyze Request for Quotation,complete,Magdalena Predutta
2,Amend Request for Quotation,Esmana Liubiata,2011/01/01 19:33:00.000,2011/01/01 19:39:00.000,Variant 20,20,Fluxicon Disco,Variant 20,20,Amend Request for Quotation,complete,Esmana Liubiata
2,Analyze Request for Quotation,Karel de Groot,2011/01/01 20:28:00.000,2011/01/01 20:38:00.000,Variant 20,20,Fluxicon Disco,Variant 20,20,Analyze Request for Quotation,complete,Karel de Groot
2,Send Request for Quotation to Supplier,Francois de Perrier,2011/01/01 22:18:00.000,2011/01/01 22:40:00.000,Variant 20,20,Fluxicon Disco,Variant 20,20,Send Request for Quotation to Supplier,complete,Francois de Perrier
2,Create Quotation comparison Map,Karel de Groot,2011/01/01 22:55:00.000,2011/01/01 23:43:00.000,Variant 20,20,Fluxicon Disco,Variant 20,20,Create Quotation comparison Map,complete,Karel de Groot
2,Analyze Quotation Comparison Map,Esmana Liubiata,2011/01/02 06:33:00.000,2011/01/02 06:44:00.000,Variant 20,20,Fluxicon Disco,Variant 20,20,Analyze Quotation Comparison Map,complete,Esmana Liubiata
2,Choose best option,Fjodor Kowalski,2011/01/02 06:44:00.000,2011/01/02 06:44:00.000,Variant 20,20,Fluxicon Disco,Variant 20,20,Choose best option,complete,Fjodor Kowalski
2,Settle Conditions With Supplier,Magdalena Predutta,2011/01/02 09:15:00.000,2011/01/02 22:07:00.000,Variant 20,20,Fluxicon Disco,Variant 20,20,Settle Conditions With Supplier,complete,Magdalena Predutta
2,Create Purchase Order,Magdalena Predutta,2011/01/02 23:21:00.000,2011/01/02 23:31:00.000,Variant 20,20,Fluxicon Disco,Variant 20,20,Create Purchase Order,complete,Magdalena Predutta
2,Confirm Purchase Order,Esmeralda Clay,2011/01/03 03:23:00.000,2011/01/03 03:29:00.000,Variant 20,20,Fluxicon Disco,Variant 20,20,Confirm Purchase Order,complete,Esmeralda Clay
2,Deliver Goods Services,Esmeralda Clay,2011/01/03 10:15:00.000,2011/01/04 21:53:00.000,Variant 20,20,Fluxicon Disco,Variant 20,20,Deliver Goods Services,complete,Esmeralda Clay
2,Release Purchase Order,Elvira Lores,2011/01/05 06:01:00.000,2011/01/05 06:02:00.000,Variant 20,20,Fluxicon Disco,Variant 20,20,Release Purchase Order,complete,Elvira Lores
2,Approve Purchase Order for payment,Karel de Groot,2011/01/05 16:03:00.000,2011/01/05 16:04:00.000,Variant 20,20,Fluxicon Disco,Variant 20,20,Approve Purchase Order for payment,complete,Karel de Groot
2,Send Invoice,Esmeralda Clay,2011/01/05 21:50:00.000,2011/01/05 21:50:00.000,Variant 20,20,Fluxicon Disco,Variant 20,20,Send Invoice,complete,Esmeralda Clay
2,Release Supplier's Invoice,Pedro Alvares,2011/01/06 12:04:00.000,2011/01/06 12:07:00.000,Variant 20,20,Fluxicon Disco,Variant 20,20,Release Supplier's Invoice,complete,Pedro Alvares
2,Settle Dispute With Supplier,Karalda Nimwada,2011/01/06 12:38:00.000,2011/01/06 12:58:00.000,Variant 20,20,Fluxicon Disco,Variant 20,20,Settle Dispute With Supplier,complete,Karalda Nimwada
2,Authorize Supplier's Invoice payment,Pedro Alvares,2011/01/06 12:58:00.000,2011/01/06 12:58:00.000,Variant 20,20,Fluxicon Disco,Variant 20,20,Authorize Supplier's Invoice payment,complete,Pedro Alvares
2,Pay Invoice,Karalda Nimwada,2011/01/06 13:21:00.000,2011/01/06 13:32:00.000,Variant 20,20,Fluxicon Disco,Variant 20,20,Pay Invoice,complete,Karalda Nimwada
3,Create Purchase Requisition,Kim Passa,2011/01/01 09:23:00.000,2011/01/01 10:03:00.000,Variant 1,1,Fluxicon Disco,Variant 1,1,Create Purchase Requisition,complete,Kim Passa
3,Analyze Purchase Requisition,Heinz Gutschmidt,2011/01/02 08:50:00.000,2011/01/02 08:58:00.000,Variant 1,1,Fluxicon Disco,Variant 1,1,Analyze Purchase Requisition,complete,Heinz Gutschmidt
3,Create Request for Quotation,Francis Odell,2011/01/02 09:01:00.000,2011/01/02 09:03:00.000,Variant 1,1,Fluxicon Disco,Variant 1,1,Create Request for Quotation,complete,Francis Odell
3,Analyze Request for Quotation,Karel de Groot,2011/01/02 10:27:00.000,2011/01/02 10:48:00.000,Variant 1,1,Fluxicon Disco,Variant 1,1,Analyze Request for Quotation,complete,Karel de Groot
3,Send Request for Quotation to Supplier,Magdalena Predutta,2011/01/02 22:29:00.000,2011/01/02 22:55:00.000,Variant 1,1,Fluxicon Disco,Variant 1,1,Send Request for Quotation to Supplier,complete,Magdalena Predutta
3,Create Quotation comparison Map,Francois de Perrier,2011/01/02 23:00:00.000,2011/01/03 04:00:00.000,Variant 1,1,Fluxicon Disco,Variant 1,1,Create Quotation comparison Map,complete,Francois de Perrier
3,Analyze Quotation Comparison Map,Clement Duchot,2011/01/03 10:18:00.000,2011/01/03 10:47:00.000,Variant 1,1,Fluxicon Disco,Variant 1,1,Analyze Quotation Comparison Map,complete,Clement Duchot
3,Choose best option,Christian Francois,2011/01/03 10:47:00.000,2011/01/03 10:47:00.000,Variant 1,1,Fluxicon Disco,Variant 1,1,Choose best option,complete,Christian Francois
3,Settle Conditions With Supplier,Francois de Perrier,2011/01/03 21:14:00.000,2011/01/04 05:16:00.000,Variant 1,1,Fluxicon Disco,Variant 1,1,Settle Conditions With Supplier,complete,Francois de Perrier
3,Create Purchase Order,Francois de Perrier,2011/01/04 06:51:00.000,2011/01/04 06:59:00.000,Variant 1,1,Fluxicon Disco,Variant 1,1,Create Purchase Order,complete,Francois de Perrier
3,Confirm Purchase Order,Karen Clarens,2011/01/04 10:47:00.000,2011/01/04 11:10:00.000,Variant 1,1,Fluxicon Disco,Variant 1,1,Confirm Purchase Order,complete,Karen Clarens
3,Deliver Goods Services,Esmeralda Clay,2011/01/04 21:53:00.000,2011/01/05 21:20:00.000,Variant 1,1,Fluxicon Disco,Variant 1,1,Deliver Goods Services,complete,Esmeralda Clay
3,Release Purchase Order,Elvira Lores,2011/01/06 04:54:00.000,2011/01/06 04:55:00.000,Variant 1,1,Fluxicon Disco,Variant 1,1,Release Purchase Order,complete,Elvira Lores
3,Approve Purchase Order for payment,Francois de Perrier,2011/01/06 20:46:00.000,2011/01/06 20:47:00.000,Variant 1,1,Fluxicon Disco,Variant 1,1,Approve Purchase Order for payment,complete,Francois de Perrier
3,Send Invoice,Kiu Kan,2011/01/07 08:33:00.000,2011/01/07 08:33:00.000,Variant 1,1,Fluxicon Disco,Variant 1,1,Send Invoice,complete,Kiu Kan
3,Release Supplier's Invoice,Karalda Nimwada,2011/01/07 22:51:00.000,2011/01/07 22:55:00.000,Variant 1,1,Fluxicon Disco,Variant 1,1,Release Supplier's Invoice,complete,Karalda Nimwada
3,Authorize Supplier's Invoice payment,Karalda Nimwada,2011/01/07 22:55:00.000,2011/01/07 22:55:00.000,Variant 1,1,Fluxicon Disco,Variant 1,1,Authorize Supplier's Invoice payment,complete,Karalda Nimwada
3,Pay Invoice,Karalda Nimwada,2011/01/07 23:24:00.000,2011/01/07 23:31:00.000,Variant 1,1,Fluxicon Disco,Variant 1,1,Pay Invoice,complete,Karalda Nimwada
4,Create Purchase Requisition,Fjodor Kowalski,2011/01/01 15:39:00.000,2011/01/01 16:00:00.000,Variant 37,37,Fluxicon Disco,Variant 37,37,Create Purchase Requisition,complete,Fjodor Kowalski
4,Analyze Purchase Requisition,Maris Freeman,2011/01/02 01:45:00.000,2011/01/02 01:51:00.000,Variant 37,37,Fluxicon Disco,Variant 37,37,Analyze Purchase Requisition,complete,Maris Freeman
4,Create Request for Quotation,Heinz Gutschmidt,2011/01/02 01:56:00.000,2011/01/02 01:58:00.000,Variant 37,37,Fluxicon Disco,Variant 37,37,Create Request for Quotation,complete,Heinz Gutschmidt
4,Analyze Request for Quotation,Francois de Perrier,2011/01/02 02:58:00.000,2011/01/02 03:19:00.000,Variant 37,37,Fluxicon Disco,Variant 37,37,Analyze Request for Quotation,complete,Francois de Perrier
4,Amend Request for Quotation,Nico Ojenbeer,2011/01/02 04:06:00.000,2011/01/02 04:14:00.000,Variant 37,37,Fluxicon Disco,Variant 37,37,Amend Request for Quotation,complete,Nico Ojenbeer
4,Analyze Request for Quotation,Francois de Perrier,2011/01/02 05:01:00.000,2011/01/02 05:24:00.000,Variant 37,37,Fluxicon Disco,Variant 37,37,Analyze Request for Quotation,complete,Francois de Perrier
4,Send Request for Quotation to Supplier,Karel de Groot,2011/01/02 09:42:00.000,2011/01/02 10:01:00.000,Variant 37,37,Fluxicon Disco,Variant 37,37,Send Request for Quotation to Supplier,complete,Karel de Groot
4,Create Quotation comparison Map,Karel de Groot,2011/01/02 10:48:00.000,2011/01/02 16:08:00.000,Variant 37,37,Fluxicon Disco,Variant 37,37,Create Quotation comparison Map,complete,Karel de Groot
4,Analyze Quotation Comparison Map,Elvira Lores,2011/01/02 22:59:00.000,2011/01/02 23:13:00.000,Variant 37,37,Fluxicon Disco,Variant 37,37,Analyze Quotation Comparison Map,complete,Elvira Lores
4,Choose best option,Kim Passa,2011/01/02 23:13:00.000,2011/01/02 23:13:00.000,Variant 37,37,Fluxicon Disco,Variant 37,37,Choose best option,complete,Kim Passa
4,Settle Conditions With Supplier,Magdalena Predutta,2011/01/03 02:13:00.000,2011/01/03 14:45:00.000,Variant 37,37,Fluxicon Disco,Variant 37,37,Settle Conditions With Supplier,complete,Magdalena Predutta
4,Create Purchase Order,Magdalena Predutta,2011/01/03 19:08:00.000,2011/01/03 19:17:00.000,Variant 37,37,Fluxicon Disco,Variant 37,37,Create Purchase Order,complete,Magdalena Predutta
4,Confirm Purchase Order,Carmen Finacse,2011/01/03 23:13:00.000,2011/01/03 23:38:00.000,Variant 37,37,Fluxicon Disco,Variant 37,37,Confirm Purchase Order,complete,Carmen Finacse
4,Deliver Goods Services,Carmen Finacse,2011/01/04 06:05:00.000,2011/01/05 09:30:00.000,Variant 37,37,Fluxicon Disco,Variant 37,37,Deliver Goods Services,complete,Carmen Finacse
4,Release Purchase Order,Miu Hanwan,2011/01/05 16:57:00.000,2011/01/05 16:58:00.000,Variant 37,37,Fluxicon Disco,Variant 37,37,Release Purchase Order,complete,Miu Hanwan
4,Approve Purchase Order for payment,Magdalena Predutta,2011/01/06 07:29:00.000,2011/01/06 07:30:00.000,Variant 37,37,Fluxicon Disco,Variant 37,37,Approve Purchase Order for payment,complete,Magdalena Predutta
4,Send Invoice,Esmeralda Clay,2011/01/06 13:13:00.000,2011/01/06 13:13:00.000,Variant 37,37,Fluxicon Disco,Variant 37,37,Send Invoice,complete,Esmeralda Clay
4,Authorize Supplier's Invoice payment,Pedro Alvares,2011/01/07 03:39:00.000,2011/01/07 03:39:00.000,Variant 37,37,Fluxicon Disco,Variant 37,37,Authorize Supplier's Invoice payment,complete,Pedro Alvares
4,Pay Invoice,Karalda Nimwada,2011/01/07 04:25:00.000,2011/01/07 04:32:00.000,Variant 37,37,Fluxicon Disco,Variant 37,37,Pay Invoice,complete,Karalda Nimwada
5,Create Purchase Requisition,Esmana Liubiata,2011/01/01 16:49:00.000,2011/01/01 17:35:00.000,Variant 37,37,Fluxicon Disco,Variant 37,37,Create Purchase Requisition,complete,Esmana Liubiata
5,Analyze Purchase Requisition,Maris Freeman,2011/01/02 08:50:00.000,2011/01/02 08:57:00.000,Variant 37,37,Fluxicon Disco,Variant 37,37,Analyze Purchase Requisition,complete,Maris Freeman
5,Create Request for Quotation,Maris Freeman,2011/01/02 09:05:00.000,2011/01/02 09:06:00.000,Variant 37,37,Fluxicon Disco,Variant 37,37,Create Request for Quotation,complete,Maris Freeman
5,Analyze Request for Quotation,Karel de Groot,2011/01/02 10:02:00.000,2011/01/02 10:27:00.000,Variant 37,37,Fluxicon Disco,Variant 37,37,Analyze Request for Quotation,complete,Karel de Groot
5,Amend Request for Quotation,Anne Olwada,2011/01/02 11:21:00.000,2011/01/02 11:33:00.000,Variant 37,37,Fluxicon Disco,Variant 37,37,Amend Request for Quotation,complete,Anne Olwada
5,Analyze Request for Quotation,Karel de Groot,2011/01/02 16:08:00.000,2011/01/02 16:42:00.000,Variant 37,37,Fluxicon Disco,Variant 37,37,Analyze Request for Quotation,complete,Karel de Groot
5,Send Request for Quotation to Supplier,Karel de Groot,2011/01/03 01:49:00.000,2011/01/03 02:21:00.000,Variant 37,37,Fluxicon Disco,Variant 37,37,Send Request for Quotation to Supplier,complete,Karel de Groot
5,Create Quotation comparison Map,Karel de Groot,2011/01/03 02:36:00.000,2011/01/03 03:14:00.000,Variant 37,37,Fluxicon Disco,Variant 37,37,Create Quotation comparison Map,complete,Karel de Groot
5,Analyze Quotation Comparison Map,Anne Olwada,2011/01/03 10:18:00.000,2011/01/03 10:30:00.000,Variant 37,37,Fluxicon Disco,Variant 37,37,Analyze Quotation Comparison Map,complete,Anne Olwada
5,Choose best option,Nico Ojenbeer,2011/01/03 10:30:00.000,2011/01/03 10:30:00.000,Variant 37,37,Fluxicon Disco,Variant 37,37,Choose best option,complete,Nico Ojenbeer
5,Settle Conditions With Supplier,Magdalena Predutta,2011/01/03 20:18:00.000,2011/01/04 02:12:00.000,Variant 37,37,Fluxicon Disco,Variant 37,37,Settle Conditions With Supplier,complete,Magdalena Predutta
5,Create Purchase Order,Karel de Groot,2011/01/04 04:01:00.000,2011/01/04 04:09:00.000,Variant 37,37,Fluxicon Disco,Variant 37,37,Create Purchase Order,complete,Karel de Groot
5,Confirm Purchase Order,Karen Clarens,2011/01/04 08:02:00.000,2011/01/04 08:24:00.000,Variant 37,37,Fluxicon Disco,Variant 37,37,Confirm Purchase Order,complete,Karen Clarens
5,Deliver Goods Services,Kiu Kan,2011/01/04 16:08:00.000,2011/01/05 11:37:00.000,Variant 37,37,Fluxicon Disco,Variant 37,37,Deliver Goods Services,complete,Kiu Kan
5,Release Purchase Order,Anna Kaufmann,2011/01/05 19:13:00.000,2011/01/05 19:14:00.000,Variant 37,37,Fluxicon Disco,Variant 37,37,Release Purchase Order,complete,Anna Kaufmann
5,Approve Purchase Order for payment,Francois de Perrier,2011/01/06 09:41:00.000,2011/01/06 09:42:00.000,Variant 37,37,Fluxicon Disco,Variant 37,37,Approve Purchase Order for payment,complete,Francois de Perrier
5,Send Invoice,Esmeralda Clay,2011/01/06 15:23:00.000,2011/01/06 15:23:00.000,Variant 37,37,Fluxicon Disco,Variant 37,37,Send Invoice,complete,Esmeralda Clay
5,Authorize Supplier's Invoice payment,Karalda Nimwada,2011/01/07 05:47:00.000,2011/01/07 05:47:00.000,Variant 37,37,Fluxicon Disco,Variant 37,37,Authorize Supplier's Invoice payment,complete,Karalda Nimwada
5,Pay Invoice,Karalda Nimwada,2011/01/07 05:55:00.000,2011/01/07 06:04:00.000,Variant 37,37,Fluxicon Disco,Variant 37,37,Pay Invoice,complete,Karalda Nimwada
6,Create Purchase Requisition,Christian Francois,2011/01/01 18:20:00.000,2011/01/01 18:37:00.000,Variant 10,10,Fluxicon Disco,Variant 10,10,Create Purchase Requisition,complete,Christian Francois
6,Create Request for Quotation,Alberto Duport,2011/01/02 00:32:00.000,2011/01/02 00:45:00.000,Variant 10,10,Fluxicon Disco,Variant 10,10,Create Request for Quotation,complete,Alberto Duport
6,Analyze Request for Quotation,Magdalena Predutta,2011/01/02 01:39:00.000,2011/01/02 01:55:00.000,Variant 10,10,Fluxicon Disco,Variant 10,10,Analyze Request for Quotation,complete,Magdalena Predutta
6,Amend Request for Quotation,Penn Osterwalder,2011/01/02 02:47:00.000,2011/01/02 02:55:00.000,Variant 10,10,Fluxicon Disco,Variant 10,10,Amend Request for Quotation,complete,Penn Osterwalder
6,Analyze Request for Quotation,Francois de Perrier,2011/01/02 03:55:00.000,2011/01/02 04:28:00.000,Variant 10,10,Fluxicon Disco,Variant 10,10,Analyze Request for Quotation,complete,Francois de Perrier
6,Amend Request for Quotation,Anne Olwada,2011/01/02 05:13:00.000,2011/01/02 05:28:00.000,Variant 10,10,Fluxicon Disco,Variant 10,10,Amend Request for Quotation,complete,Anne Olwada
6,Analyze Request for Quotation,Karel de Groot,2011/01/02 06:24:00.000,2011/01/02 06:48:00.000,Variant 10,10,Fluxicon Disco,Variant 10,10,Analyze Request for Quotation,complete,Karel de Groot
6,Send Request for Quotation to Supplier,Francois de Perrier,2011/01/02 16:51:00.000,2011/01/02 17:22:00.000,Variant 10,10,Fluxicon Disco,Variant 10,10,Send Request for Quotation to Supplier,complete,Francois de Perrier
6,Create Quotation comparison Map,Francois de Perrier,2011/01/02 17:27:00.000,2011/01/02 22:32:00.000,Variant 10,10,Fluxicon Disco,Variant 10,10,Create Quotation comparison Map,complete,Francois de Perrier
6,Analyze Quotation Comparison Map,Penn Osterwalder,2011/01/03 04:44:00.000,2011/01/03 05:01:00.000,Variant 10,10,Fluxicon Disco,Variant 10,10,Analyze Quotation Comparison Map,complete,Penn Osterwalder
6,Choose best option,Tesca Lobes,2011/01/03 05:01:00.000,2011/01/03 05:01:00.000,Variant 10,10,Fluxicon Disco,Variant 10,10,Choose best option,complete,Tesca Lobes
6,Settle Conditions With Supplier,Francois de Perrier,2011/01/03 07:25:00.000,2011/01/03 20:16:00.000,Variant 10,10,Fluxicon Disco,Variant 10,10,Settle Conditions With Supplier,complete,Francois de Perrier
6,Create Purchase Order,Karel de Groot,2011/01/03 21:57:00.000,2011/01/03 22:07:00.000,Variant 10,10,Fluxicon Disco,Variant 10,10,Create Purchase Order,complete,Karel de Groot
6,Confirm Purchase Order,Karen Clarens,2011/01/04 01:55:00.000,2011/01/04 02:16:00.000,Variant 10,10,Fluxicon Disco,Variant 10,10,Confirm Purchase Order,complete,Karen Clarens
6,Deliver Goods Services,Karen Clarens,2011/01/04 12:08:00.000,2011/01/05 10:16:00.000,Variant 10,10,Fluxicon Disco,Variant 10,10,Deliver Goods Services,complete,Karen Clarens
6,Release Purchase Order,Nico Ojenbeer,2011/01/05 17:27:00.000,2011/01/05 17:28:00.000,Variant 10,10,Fluxicon Disco,Variant 10,10,Release Purchase Order,complete,Nico Ojenbeer
6,Approve Purchase Order for payment,Karel de Groot,2011/01/06 00:09:00.000,2011/01/06 00:10:00.000,Variant 10,10,Fluxicon Disco,Variant 10,10,Approve Purchase Order for payment,complete,Karel de Groot
6,Send Invoice,Esmeralda Clay,2011/01/06 05:56:00.000,2011/01/06 05:56:00.000,Variant 10,10,Fluxicon Disco,Variant 10,10,Send Invoice,complete,Esmeralda Clay
6,Release Supplier's Invoice,Karalda Nimwada,2011/01/06 20:12:00.000,2011/01/06 20:19:00.000,Variant 10,10,Fluxicon Disco,Variant 10,10,Release Supplier's Invoice,complete,Karalda Nimwada
6,Authorize Supplier's Invoice payment,Karalda Nimwada,2011/01/06 20:19:00.000,2011/01/06 20:19:00.000,Variant 10,10,Fluxicon Disco,Variant 10,10,Authorize Supplier's Invoice payment,complete,Karalda Nimwada
6,Pay Invoice,Karalda Nimwada,2011/01/06 20:43:00.000,2011/01/06 20:50:00.000,Variant 10,10,Fluxicon Disco,Variant 10,10,Pay Invoice,complete,Karalda Nimwada
7,Create Purchase Requisition,Esmana Liubiata,2011/01/01 21:05:00.000,2011/01/01 22:00:00.000,Variant 13,13,Fluxicon Disco,Variant 13,13,Create Purchase Requisition,complete,Esmana Liubiata
7,Analyze Purchase Requisition,Maris Freeman,2011/01/02 20:33:00.000,2011/01/02 20:38:00.000,Variant 13,13,Fluxicon Disco,Variant 13,13,Analyze Purchase Requisition,complete,Maris Freeman
7,Create Request for Quotation,Maris Freeman,2011/01/02 20:41:00.000,2011/01/02 20:42:00.000,Variant 13,13,Fluxicon Disco,Variant 13,13,Create Request for Quotation,complete,Maris Freeman
7,Analyze Request for Quotation,Magdalena Predutta,2011/01/02 22:07:00.000,2011/01/02 22:29:00.000,Variant 13,13,Fluxicon Disco,Variant 13,13,Analyze Request for Quotation,complete,Magdalena Predutta
7,Amend Request for Quotation,Esmana Liubiata,2011/01/02 23:21:00.000,2011/01/02 23:28:00.000,Variant 13,13,Fluxicon Disco,Variant 13,13,Amend Request for Quotation,complete,Esmana Liubiata
7,Analyze Request for Quotation,Karel de Groot,2011/01/03 00:22:00.000,2011/01/03 00:47:00.000,Variant 13,13,Fluxicon Disco,Variant 13,13,Analyze Request for Quotation,complete,Karel de Groot
7,Amend Request for Quotation,Nico Ojenbeer,2011/01/03 01:36:00.000,2011/01/03 01:50:00.000,Variant 13,13,Fluxicon Disco,Variant 13,13,Amend Request for Quotation,complete,Nico Ojenbeer
7,Analyze Request for Quotation,Karel de Groot,2011/01/03 03:14:00.000,2011/01/03 03:28:00.000,Variant 13,13,Fluxicon Disco,Variant 13,13,Analyze Request for Quotation,complete,Karel de Groot
7,Send Request for Quotation to Supplier,Karel de Groot,2011/01/03 07:17:00.000,2011/01/03 07:40:00.000,Variant 13,13,Fluxicon Disco,Variant 13,13,Send Request for Quotation to Supplier,complete,Karel de Groot
7,Create Quotation comparison Map,Magdalena Predutta,2011/01/03 15:00:00.000,2011/01/03 19:08:00.000,Variant 13,13,Fluxicon Disco,Variant 13,13,Create Quotation comparison Map,complete,Magdalena Predutta
7,Analyze Quotation Comparison Map,Miu Hanwan,2011/01/04 02:19:00.000,2011/01/04 02:35:00.000,Variant 13,13,Fluxicon Disco,Variant 13,13,Analyze Quotation Comparison Map,complete,Miu Hanwan
7,Choose best option,Immanuel Karagianni,2011/01/04 02:35:00.000,2011/01/04 02:35:00.000,Variant 13,13,Fluxicon Disco,Variant 13,13,Choose best option,complete,Immanuel Karagianni
7,Settle Conditions With Supplier,Magdalena Predutta,2011/01/04 05:52:00.000,2011/01/04 20:08:00.000,Variant 13,13,Fluxicon Disco,Variant 13,13,Settle Conditions With Supplier,complete,Magdalena Predutta
7,Create Purchase Order,Karel de Groot,2011/01/05 00:10:00.000,2011/01/05 00:18:00.000,Variant 13,13,Fluxicon Disco,Variant 13,13,Create Purchase Order,complete,Karel de Groot
7,Confirm Purchase Order,Carmen Finacse,2011/01/05 09:37:00.000,2011/01/05 09:44:00.000,Variant 13,13,Fluxicon Disco,Variant 13,13,Confirm Purchase Order,complete,Carmen Finacse
7,Deliver Goods Services,Karen Clarens,2011/01/05 16:12:00.000,2011/01/06 02:17:00.000,Variant 13,13,Fluxicon Disco,Variant 13,13,Deliver Goods Services,complete,Karen Clarens
7,Release Purchase Order,Clement Duchot,2011/01/06 09:34:00.000,2011/01/06 09:35:00.000,Variant 13,13,Fluxicon Disco,Variant 13,13,Release Purchase Order,complete,Clement Duchot
7,Approve Purchase Order for payment,Magdalena Predutta,2011/01/06 17:43:00.000,2011/01/06 17:44:00.000,Variant 13,13,Fluxicon Disco,Variant 13,13,Approve Purchase Order for payment,complete,Magdalena Predutta
7,Send Invoice,Karen Clarens,2011/01/07 02:11:00.000,2011/01/07 02:11:00.000,Variant 13,13,Fluxicon Disco,Variant 13,13,Send Invoice,complete,Karen Clarens
7,Release Supplier's Invoice,Karalda Nimwada,2011/01/07 16:22:00.000,2011/01/07 16:27:00.000,Variant 13,13,Fluxicon Disco,Variant 13,13,Release Supplier's Invoice,complete,Karalda Nimwada
