caseid,task,user,start_timestamp,end_timestamp
637,Analyze Request for Quotation,Francois de Perrier,2011-05-09 05:04:00,2011-05-09 05:28:00
637,Amend Request for Quotation,Penn Osterwalder,2011-05-09 06:19:00,2011-05-09 06:30:00
637,Analyze Request for Quotation,Magdalena Predutta,2011-05-17 16:29:00,2011-05-17 17:00:00
637,Amend Request for Quotation,Maris Freeman,2011-05-18 08:56:00,2011-05-18 09:23:00
637,Analyze Request for Quotation,Karel de Groot,2011-05-21 18:46:00,2011-05-21 19:06:00
637,Amend Request for Quotation,Esmana Liubiata,2011-05-21 20:03:00,2011-05-21 20:17:00
637,Analyze Request for Quotation,Karel de Groot,2011-06-18 15:16:00,2011-06-18 15:46:00
637,Send Request for Quotation to Supplier,Karel de Groot,2011-06-18 20:16:00,2011-06-18 20:46:00
637,Create Quotation comparison Map,Karel de Groot,2011-06-19 05:19:00,2011-06-19 10:42:00
637,Analyze Quotation Comparison Map,Christian Francois,2011-06-19 18:04:00,2011-06-19 18:24:00
637,Choose best option,Immanuel Karagianni,2011-06-19 18:24:00,2011-06-19 18:24:00
637,Settle Conditions With Supplier,Magdalena Predutta,2011-06-20 07:55:00,2011-06-20 12:57:00
637,Create Purchase Order,Karel de Groot,2011-06-20 21:58:00,2011-06-20 22:08:00
637,Confirm Purchase Order,Sean Manney,2011-06-22 09:29:00,2011-06-22 09:34:00
637,Deliver Goods Services,Esmeralda Clay,2011-06-24 10:10:00,2011-06-26 01:07:00
637,Release Purchase Order,Elvira Lores,2011-06-26 08:49:00,2011-06-26 08:50:00
637,Approve Purchase Order for payment,Karel de Groot,2011-06-26 15:31:00,2011-06-26 15:32:00
637,Send Invoice,Kiu Kan,2011-06-27 04:36:00,2011-06-27 04:36:00
637,Release Supplier's Invoice,Pedro Alvares,2011-06-27 19:08:00,2011-06-27 19:15:00
637,Settle Dispute With Supplier,Pedro Alvares,2011-06-27 20:09:00,2011-06-27 20:33:00
637,Authorize Supplier's Invoice payment,Karalda Nimwada,2011-06-27 20:33:00,2011-06-27 20:33:00
637,Pay Invoice,Pedro Alvares,2011-06-27 20:48:00,2011-06-27 20:53:00
637,End,End,2011-06-27 20:53:00,2011-06-27 20:53:00
405,Start,Start,2011-02-27 07:04:00,2011-02-27 07:04:00
405,Create Purchase Requisition,Nico Ojenbeer,2011-02-27 07:04:00,2011-02-27 07:51:00
405,Analyze Purchase Requisition,Francis Odell,2011-02-27 19:01:00,2011-02-27 19:09:00
405,Create Request for Quotation,Francis Odell,2011-02-27 19:13:00,2011-02-27 19:14:00
405,Analyze Request for Quotation,Karel de Groot,2011-03-03 13:44:00,2011-03-03 13:55:00
405,Send Request for Quotation to Supplier,Karel de Groot,2011-03-04 07:14:00,2011-03-04 07:35:00
405,Create Quotation comparison Map,Francois de Perrier,2011-03-04 11:57:00,2011-03-04 17:49:00
405,Analyze Quotation Comparison Map,Anna Kaufmann,2011-03-05 01:05:00,2011-03-05 01:37:00
405,Choose best option,Anne Olwada,2011-03-05 01:37:00,2011-03-05 01:37:00
405,Settle Conditions With Supplier,Francois de Perrier,2011-03-05 03:44:00,2011-03-05 09:04:00
405,Create Purchase Order,Magdalena Predutta,2011-03-05 12:47:00,2011-03-05 12:58:00
405,Confirm Purchase Order,Carmen Finacse,2011-03-08 10:58:00,2011-03-08 11:16:00
405,Deliver Goods Services,Kiu Kan,2011-03-09 14:59:00,2011-03-10 21:33:00
405,Release Purchase Order,Elvira Lores,2011-03-11 05:47:00,2011-03-11 05:48:00
405,Approve Purchase Order for payment,Francois de Perrier,2011-03-12 03:59:00,2011-03-12 04:00:00
405,Send Invoice,Kiu Kan,2011-03-14 01:19:00,2011-03-14 01:19:00
405,Release Supplier's Invoice,Pedro Alvares,2011-03-14 15:34:00,2011-03-14 15:40:00
405,Settle Dispute With Supplier,Pedro Alvares,2011-03-14 15:48:00,2011-03-14 16:01:00
405,Authorize Supplier's Invoice payment,Pedro Alvares,2011-03-14 16:06:00,2011-03-14 16:06:00
405,Pay Invoice,Karalda Nimwada,2011-03-14 16:45:00,2011-03-14 16:58:00
405,End,End,2011-03-14 16:58:00,2011-03-14 16:58:00
41,Start,Start,2011-01-05 10:01:00,2011-01-05 10:01:00
41,Create Purchase Requisition,Alberto Duport,2011-01-05 10:01:00,2011-01-05 10:33:00
41,Analyze Purchase Requisition,Heinz Gutschmidt,2011-01-06 03:07:00,2011-01-06 03:15:00
41,Create Request for Quotation,Francis Odell,2011-01-06 03:19:00,2011-01-06 03:20:00
41,Analyze Request for Quotation,Karel de Groot,2011-01-06 15:49:00,2011-01-06 16:15:00
41,Send Request for Quotation to Supplier,Karel de Groot,2011-01-06 20:59:00,2011-01-06 21:23:00
41,Create Quotation comparison Map,Karel de Groot,2011-01-06 23:27:00,2011-01-07 03:15:00
41,Analyze Quotation Comparison Map,Christian Francois,2011-01-07 09:46:00,2011-01-07 10:11:00
41,Choose best option,Elvira Lores,2011-01-07 10:11:00,2011-01-07 10:11:00
41,Settle Conditions With Supplier,Karel de Groot,2011-01-07 14:23:00,2011-01-08 01:07:00
41,Create Purchase Order,Francois de Perrier,2011-01-08 06:37:00,2011-01-08 06:49:00
41,Confirm Purchase Order,Sean Manney,2011-01-08 14:35:00,2011-01-08 14:41:00
41,Deliver Goods Services,Kiu Kan,2011-01-09 11:38:00,2011-01-10 20:42:00
41,Release Purchase Order,Miu Hanwan,2011-01-11 04:36:00,2011-01-11 04:37:00
41,Approve Purchase Order for payment,Francois de Perrier,2011-01-11 21:35:00,2011-01-11 21:36:00
41,Send Invoice,Karen Clarens,2011-01-13 08:03:00,2011-01-13 08:03:00
41,Release Supplier's Invoice,Pedro Alvares,2011-01-13 22:17:00,2011-01-13 22:21:00
41,Authorize Supplier's Invoice payment,Karalda Nimwada,2011-01-13 22:21:00,2011-01-13 22:21:00
41,Pay Invoice,Pedro Alvares,2011-01-13 22:45:00,2011-01-13 22:58:00
41,End,End,2011-01-13 22:58:00,2011-01-13 22:58:00
310,Start,Start,2011-02-13 05:54:00,2011-02-13 05:54:00
310,Create Purchase Requisition,Kim Passa,2011-02-13 05:54:00,2011-02-13 06:24:00
310,Analyze Purchase Requisition,Maris Freeman,2011-02-14 04:01:00,2011-02-14 04:08:00
310,Create Request for Quotation,Heinz Gutschmidt,2011-02-14 04:14:00,2011-02-14 04:15:00
310,Analyze Request for Quotation,Francois de Perrier,2011-02-14 21:29:00,2011-02-14 21:52:00
310,Send Request for Quotation to Supplier,Magdalena Predutta,2011-02-15 13:44:00,2011-02-15 14:09:00
310,Create Quotation comparison Map,Magdalena Predutta,2011-02-15 14:36:00,2011-02-15 19:30:00
310,Analyze Quotation Comparison Map,Anne Olwada,2011-02-16 02:25:00,2011-02-16 02:54:00
310,Choose best option,Tesca Lobes,2011-02-16 02:54:00,2011-02-16 02:54:00
310,Settle Conditions With Supplier,Magdalena Predutta,2011-02-17 02:43:00,2011-02-17 06:56:00
310,Create Purchase Order,Magdalena Predutta,2011-02-19 00:46:00,2011-02-19 00:53:00
310,Confirm Purchase Order,Kiu Kan,2011-02-19 09:58:00,2011-02-19 10:02:00
310,Deliver Goods Services,Carmen Finacse,2011-02-24 02:58:00,2011-02-26 01:44:00
310,Release Purchase Order,Clement Duchot,2011-02-26 09:16:00,2011-02-26 09:17:00
310,Approve Purchase Order for payment,Karel de Groot,2011-02-27 15:02:00,2011-02-27 15:03:00
310,Send Invoice,Karen Clarens,2011-02-27 23:16:00,2011-02-27 23:16:00
310,Release Supplier's Invoice,Pedro Alvares,2011-02-28 13:39:00,2011-02-28 13:42:00
310,Authorize Supplier's Invoice payment,Pedro Alvares,2011-02-28 13:42:00,2011-02-28 13:42:00
310,Pay Invoice,Pedro Alvares,2011-02-28 13:54:00,2011-02-28 14:06:00
310,End,End,2011-02-28 14:06:00,2011-02-28 14:06:00
232,Start,Start,2011-01-31 08:47:00,2011-01-31 08:47:00
232,Create Purchase Requisition,Immanuel Karagianni,2011-01-31 08:47:00,2011-01-31 09:34:00
232,Analyze Purchase Requisition,Maris Freeman,2011-01-31 23:38:00,2011-01-31 23:42:00
232,Create Request for Quotation,Francis Odell,2011-01-31 23:47:00,2011-01-31 23:49:00
232,Analyze Request for Quotation,Magdalena Predutta,2011-02-05 08:24:00,2011-02-05 08:50:00
232,Send Request for Quotation to Supplier,Francois de Perrier,2011-02-05 14:25:00,2011-02-05 14:47:00
232,Create Quotation comparison Map,Francois de Perrier,2011-02-05 15:54:00,2011-02-05 18:54:00
232,Analyze Quotation Comparison Map,Kim Passa,2011-02-06 01:22:00,2011-02-06 01:54:00
232,Choose best option,Fjodor Kowalski,2011-02-06 01:54:00,2011-02-06 01:54:00
232,Settle Conditions With Supplier,Magdalena Predutta,2011-02-06 09:09:00,2011-02-06 17:46:00
232,Create Purchase Order,Francois de Perrier,2011-02-06 21:34:00,2011-02-06 21:42:00
232,Confirm Purchase Order,Kiu Kan,2011-02-07 02:01:00,2011-02-07 02:33:00
232,Deliver Goods Services,Sean Manney,2011-02-11 05:46:00,2011-02-12 18:11:00
232,Release Purchase Order,Tesca Lobes,2011-02-13 01:43:00,2011-02-13 01:44:00
232,Approve Purchase Order for payment,Magdalena Predutta,2011-02-13 08:21:00,2011-02-13 08:22:00
232,Send Invoice,Esmeralda Clay,2011-02-14 09:10:00,2011-02-14 09:10:00
232,Release Supplier's Invoice,Pedro Alvares,2011-02-14 23:33:00,2011-02-14 23:39:00
232,Settle Dispute With Supplier,Karalda Nimwada,2011-02-15 00:12:00,2011-02-15 00:33:00
232,Authorize Supplier's Invoice payment,Karalda Nimwada,2011-02-15 00:33:00,2011-02-15 00:33:00
232,Pay Invoice,Pedro Alvares,2011-02-15 00:57:00,2011-02-15 01:05:00
232,End,End,2011-02-15 01:05:00,2011-02-15 01:05:00
293,Start,Start,2011-02-09 13:06:00,2011-02-09 13:06:00
293,Create Purchase Requisition,Elvira Lores,2011-02-09 13:06:00,2011-02-09 13:54:00
293,Analyze Purchase Requisition,Francis Odell,2011-02-10 06:44:00,2011-02-10 06:53:00
293,Create Request for Quotation,Francis Odell,2011-02-10 06:58:00,2011-02-10 07:00:00
293,Analyze Request for Quotation,Francois de Perrier,2011-02-14 22:41:00,2011-02-14 22:54:00
293,Send Request for Quotation to Supplier,Karel de Groot,2011-02-15 01:06:00,2011-02-15 01:38:00
293,Create Quotation comparison Map,Karel de Groot,2011-02-15 02:02:00,2011-02-15 04:02:00
293,Analyze Quotation Comparison Map,Miu Hanwan,2011-02-15 10:04:00,2011-02-15 10:16:00
293,Choose best option,Kim Passa,2011-02-15 10:16:00,2011-02-15 10:16:00
293,Settle Conditions With Supplier,Francois de Perrier,2011-02-15 12:04:00,2011-02-15 20:08:00
293,Create Purchase Order,Karel de Groot,2011-02-15 22:12:00,2011-02-15 22:18:00
293,Confirm Purchase Order,Carmen Finacse,2011-02-16 08:14:00,2011-02-16 08:24:00
293,Deliver Goods Services,Kiu Kan,2011-02-17 14:00:00,2011-02-17 17:56:00
293,Release Purchase Order,Kim Passa,2011-02-18 01:28:00,2011-02-18 01:29:00
293,Approve Purchase Order for payment,Magdalena Predutta,2011-02-18 16:49:00,2011-02-18 16:50:00
293,Send Invoice,Esmeralda Clay,2011-02-20 18:10:00,2011-02-20 18:10:00
293,Release Supplier's Invoice,Pedro Alvares,2011-02-21 08:28:00,2011-02-21 08:31:00
293,Settle Dispute With Supplier,Pedro Alvares,2011-02-21 09:04:00,2011-02-21 09:33:00
293,Authorize Supplier's Invoice payment,Pedro Alvares,2011-02-21 09:33:00,2011-02-21 09:33:00
293,Pay Invoice,Pedro Alvares,2011-02-21 09:49:00,2011-02-21 10:00:00
293,End,End,2011-02-21 10:00:00,2011-02-21 10:00:00
497,Start,Start,2011-03-11 19:37:00,2011-03-11 19:37:00
497,Create Purchase Requisition,Esmana Liubiata,2011-03-11 19:37:00,2011-03-11 20:23:00
497,Analyze Purchase Requisition,Heinz Gutschmidt,2011-03-12 13:50:00,2011-03-12 13:56:00
497,Create Request for Quotation,Heinz Gutschmidt,2011-03-12 14:04:00,2011-03-12 14:06:00
497,Analyze Request for Quotation,Karel de Groot,2011-03-13 22:04:00,2011-03-13 22:35:00
497,Send Request for Quotation to Supplier,Francois de Perrier,2011-03-14 09:08:00,2011-03-14 09:33:00
497,Create Quotation comparison Map,Magdalena Predutta,2011-03-14 11:04:00,2011-03-14 12:27:00
497,Analyze Quotation Comparison Map,Kim Passa,2011-03-14 18:52:00,2011-03-14 19:05:00
497,Choose best option,Miu Hanwan,2011-03-14 19:05:00,2011-03-14 19:05:00
497,Settle Conditions With Supplier,Magdalena Predutta,2011-03-16 09:39:00,2011-03-16 13:51:00
497,Create Purchase Order,Magdalena Predutta,2011-03-16 21:49:00,2011-03-16 22:01:00
497,Confirm Purchase Order,Kiu Kan,2011-03-17 18:19:00,2011-03-17 18:24:00
497,Deliver Goods Services,Kiu Kan,2011-03-19 08:39:00,2011-03-19 22:43:00
497,Release Purchase Order,Alberto Duport,2011-03-20 06:30:00,2011-03-20 06:31:00
497,Approve Purchase Order for payment,Karel de Groot,2011-03-20 14:23:00,2011-03-20 14:24:00
497,Send Invoice,Karen Clarens,2011-03-25 12:37:00,2011-03-25 12:37:00
497,Release Supplier's Invoice,Karalda Nimwada,2011-03-26 02:53:00,2011-03-26 02:55:00
497,Authorize Supplier's Invoice payment,Karalda Nimwada,2011-03-26 02:55:00,2011-03-26 02:55:00
497,Pay Invoice,Karalda Nimwada,2011-03-26 03:53:00,2011-03-26 04:03:00
497,End,End,2011-03-26 04:03:00,2011-03-26 04:03:00
560,Start,Start,2011-03-21 06:35:00,2011-03-21 06:35:00
560,Create Purchase Requisition,Kim Passa,2011-03-21 06:35:00,2011-03-21 07:12:00
560,Analyze Purchase Requisition,Maris Freeman,2011-03-22 05:41:00,2011-03-22 05:49:00
560,Create Request for Quotation,Francis Odell,2011-03-22 05:55:00,2011-03-22 05:57:00
560,Analyze Request for Quotation,Francois de Perrier,2011-03-27 09:43:00,2011-03-27 09:58:00
560,Send Request for Quotation to Supplier,Francois de Perrier,2011-03-27 21:49:00,2011-03-27 22:20:00
560,Create Quotation comparison Map,Francois de Perrier,2011-03-28 01:03:00,2011-03-28 03:37:00
560,Analyze Quotation Comparison Map,Christian Francois,2011-03-28 10:17:00,2011-03-28 10:48:00
560,Choose best option,Miu Hanwan,2011-03-28 10:48:00,2011-03-28 10:48:00
560,Settle Conditions With Supplier,Magdalena Predutta,2011-03-28 22:22:00,2011-03-29 10:14:00
560,Create Purchase Order,Francois de Perrier,2011-03-29 15:25:00,2011-03-29 15:32:00
560,Confirm Purchase Order,Kiu Kan,2011-03-30 20:02:00,2011-03-30 20:35:00
560,Deliver Goods Services,Karen Clarens,2011-03-31 08:57:00,2011-03-31 20:19:00
560,Release Purchase Order,Immanuel Karagianni,2011-04-01 03:52:00,2011-04-01 03:53:00
560,Approve Purchase Order for payment,Magdalena Predutta,2011-04-01 11:57:00,2011-04-01 11:58:00
560,Send Invoice,Karen Clarens,2011-04-05 01:49:00,2011-04-05 01:49:00
560,Release Supplier's Invoice,Pedro Alvares,2011-04-05 16:14:00,2011-04-05 16:18:00
560,Authorize Supplier's Invoice payment,Pedro Alvares,2011-04-05 16:18:00,2011-04-05 16:18:00
560,Pay Invoice,Pedro Alvares,2011-04-05 17:24:00,2011-04-05 17:31:00
560,End,End,2011-04-05 17:31:00,2011-04-05 17:31:00
134,Start,Start,2011-01-17 21:00:00,2011-01-17 21:00:00
134,Create Purchase Requisition,Alberto Duport,2011-01-17 21:00:00,2011-01-17 21:24:00
134,Analyze Purchase Requisition,Heinz Gutschmidt,2011-01-18 14:18:00,2011-01-18 14:25:00
134,Create Request for Quotation,Maris Freeman,2011-01-18 14:31:00,2011-01-18 14:32:00
134,Analyze Request for Quotation,Francois de Perrier,2011-01-23 02:48:00,2011-01-23 03:07:00
134,Send Request for Quotation to Supplier,Karel de Groot,2011-01-23 12:07:00,2011-01-23 12:18:00
134,Create Quotation comparison Map,Karel de Groot,2011-01-23 14:25:00,2011-01-23 19:38:00
134,Analyze Quotation Comparison Map,Nico Ojenbeer,2011-01-24 02:24:00,2011-01-24 02:40:00
134,Choose best option,Penn Osterwalder,2011-01-24 02:40:00,2011-01-24 02:40:00
134,Settle Conditions With Supplier,Magdalena Predutta,2011-01-24 05:42:00,2011-01-24 18:46:00
134,Create Purchase Order,Karel de Groot,2011-01-25 01:14:00,2011-01-25 01:26:00
134,Confirm Purchase Order,Esmeralda Clay,2011-01-28 06:01:00,2011-01-28 06:21:00
134,Deliver Goods Services,Karen Clarens,2011-01-28 15:58:00,2011-01-29 02:45:00
134,Release Purchase Order,Anna Kaufmann,2011-01-29 10:32:00,2011-01-29 10:33:00
134,Approve Purchase Order for payment,Karel de Groot,2011-01-30 10:16:00,2011-01-30 10:17:00
134,Send Invoice,Kiu Kan,2011-01-31 17:42:00,2011-01-31 17:42:00
134,Release Supplier's Invoice,Pedro Alvares,2011-02-01 08:00:00,2011-02-01 08:03:00
134,Authorize Supplier's Invoice payment,Pedro Alvares,2011-02-01 08:03:00,2011-02-01 08:03:00
134,Pay Invoice,Karalda Nimwada,2011-02-01 08:21:00,2011-02-01 08:26:00
134,End,End,2011-02-01 08:26:00,2011-02-01 08:26:00
1184,Start,Start,2011-06-21 01:29:00,2011-06-21 01:29:00
1184,Create Purchase Requisition,Christian Francois,2011-06-21 01:29:00,2011-06-21 01:42:00
1184,Analyze Purchase Requisition,Heinz Gutschmidt,2011-06-21 13:47:00,2011-06-21 13:52:00
1184,Create Request for Quotation,Francis Odell,2011-06-21 13:58:00,2011-06-21 14:00:00
1184,Analyze Request for Quotation,Francois de Perrier,2011-06-21 20:08:00,2011-06-21 20:26:00
1184,Amend Request for Quotation,Esmana Liubiata,2011-06-21 21:06:00,2011-06-21 21:19:00
1184,Analyze Request for Quotation,Francois de Perrier,2011-06-22 12:53:00,2011-06-22 13:19:00
1184,Amend Request for Quotation,Clement Duchot,2011-06-22 14:08:00,2011-06-22 14:19:00
1184,Analyze Request for Quotation,Karel de Groot,2011-07-11 20:17:00,2011-07-11 20:50:00
1184,Amend Request for Quotation,Heinz Gutschmidt,2011-07-12 12:49:00,2011-07-12 13:13:00
1184,Analyze Request for Quotation,Karel de Groot,2011-08-13 18:31:00,2011-08-13 18:56:00
1184,Amend Request for Quotation,Elvira Lores,2011-08-13 19:51:00,2011-08-13 20:02:00
1184,Analyze Request for Quotation,Karel de Groot,2011-08-20 18:14:00,2011-08-20 18:38:00
1184,Send Request for Quotation to Supplier,Francois de Perrier,2011-08-21 02:49:00,2011-08-21 03:10:00
1184,Create Quotation comparison Map,Karel de Groot,2011-08-22 05:57:00,2011-08-22 07:09:00
1184,Analyze Quotation Comparison Map,Miu Hanwan,2011-08-22 13:54:00,2011-08-22 14:00:00
1184,Choose best option,Esmana Liubiata,2011-08-22 14:00:00,2011-08-22 14:00:00
1184,Settle Conditions With Supplier,Magdalena Predutta,2011-08-23 07:18:00,2011-08-23 15:04:00
1184,Create Purchase Order,Magdalena Predutta,2011-08-23 16:59:00,2011-08-23 17:10:00
1184,Confirm Purchase Order,Sean Manney,2011-08-25 08:03:00,2011-08-25 08:22:00
1184,Deliver Goods Services,Carmen Finacse,2011-09-07 19:00:00,2011-09-09 01:24:00
1184,Release Purchase Order,Clement Duchot,2011-09-09 09:26:00,2011-09-09 09:27:00
1184,Approve Purchase Order for payment,Magdalena Predutta,2011-09-09 14:08:00,2011-09-09 14:09:00
1184,Send Invoice,Carmen Finacse,2011-09-11 17:36:00,2011-09-11 17:36:00
1184,Release Supplier's Invoice,Pedro Alvares,2011-09-12 07:55:00,2011-09-12 07:59:00
1184,Authorize Supplier's Invoice payment,Karalda Nimwada,2011-09-12 07:59:00,2011-09-12 07:59:00
1184,Pay Invoice,Pedro Alvares,2011-09-12 08:41:00,2011-09-12 08:51:00
1184,End,End,2011-09-12 08:51:00,2011-09-12 08:51:00
1255,Start,Start,2011-06-30 21:28:00,2011-06-30 21:28:00
1255,Create Purchase Requisition,Alberto Duport,2011-06-30 21:28:00,2011-06-30 22:10:00
1255,Analyze Purchase Requisition,Francis Odell,2011-07-01 21:57:00,2011-07-01 22:02:00
1255,Create Request for Quotation,Maris Freeman,2011-07-01 22:08:00,2011-07-01 22:09:00
1255,Analyze Request for Quotation,Karel de Groot,2011-09-15 04:09:00,2011-09-15 04:15:00
1255,Send Request for Quotation to Supplier,Karel de Groot,2011-09-15 16:46:00,2011-09-15 17:07:00
1255,Create Quotation comparison Map,Karel de Groot,2011-09-15 20:02:00,2011-09-16 00:05:00
1255,Analyze Quotation Comparison Map,Tesca Lobes,2011-09-16 06:19:00,2011-09-16 06:27:00
1255,Choose best option,Penn Osterwalder,2011-09-16 06:27:00,2011-09-16 06:27:00
1255,Settle Conditions With Supplier,Magdalena Predutta,2011-09-16 17:21:00,2011-09-16 22:50:00
1255,Create Purchase Order,Karel de Groot,2011-09-17 08:29:00,2011-09-17 08:38:00
1255,Confirm Purchase Order,Esmeralda Clay,2011-09-17 22:56:00,2011-09-17 23:15:00
1255,Deliver Goods Services,Carmen Finacse,2011-09-19 01:49:00,2011-09-20 05:11:00
1255,Release Purchase Order,Penn Osterwalder,2011-09-20 13:01:00,2011-09-20 13:02:00
1255,Approve Purchase Order for payment,Magdalena Predutta,2011-09-21 01:06:00,2011-09-21 01:07:00
1255,Send Invoice,Esmeralda Clay,2011-09-21 21:51:00,2011-09-21 21:51:00
1255,Release Supplier's Invoice,Karalda Nimwada,2011-09-22 12:14:00,2011-09-22 12:18:00
1255,Settle Dispute With Supplier,Pedro Alvares,2011-09-22 13:01:00,2011-09-22 13:32:00
1255,Authorize Supplier's Invoice payment,Pedro Alvares,2011-09-22 13:32:00,2011-09-22 13:32:00
1255,Pay Invoice,Karalda Nimwada,2011-09-22 14:21:00,2011-09-22 14:30:00
1255,End,End,2011-09-22 14:30:00,2011-09-22 14:30:00
915,Start,Start,2011-05-14 20:47:00,2011-05-14 20:47:00
915,Create Purchase Requisition,Immanuel Karagianni,2011-05-14 20:47:00,2011-05-14 20:57:00
915,Analyze Purchase Requisition,Heinz Gutschmidt,2011-05-15 20:35:00,2011-05-15 20:43:00
915,Create Request for Quotation,Heinz Gutschmidt,2011-05-15 20:51:00,2011-05-15 20:53:00
915,Analyze Request for Quotation,Karel de Groot,2011-05-16 08:19:00,2011-05-16 08:44:00
915,Send Request for Quotation to Supplier,Karel de Groot,2011-05-17 16:02:00,2011-05-17 16:32:00
915,Create Quotation comparison Map,Magdalena Predutta,2011-05-18 01:45:00,2011-05-18 06:52:00
