concept:name,org:resource,Activity,Resource,@@startevent_concept:name,@@startevent_org:resource,@@startevent_Activity,@@startevent_Resource,start_timestamp,time:timestamp,@@duration,case:concept:name,case:variant,case:variant-index,case:creator
Send Invoice,Kiu Kan,Send Invoice,Kiu Kan,Send Invoice,Kiu Kan,Send Invoice,Kiu Kan,2011-01-04 00:54:00-05:00,2011-01-04 00:54:00-05:00,0.0,1,Variant 2,2,Fluxicon Disco
Release Supplier's Invoice,Karalda Nimwada,Release Supplier's Invoice,Karalda Nimwada,Release Supplier's Invoice,Karalda Nimwada,Release Supplier's Invoice,Karalda Nimwada,2011-01-04 15:08:00-05:00,2011-01-04 15:13:00-05:00,300.0,1,Variant 2,2,Fluxicon Disco
Authorize Supplier's Invoice payment,Karalda Nimwada,Authorize Supplier's Invoice payment,Karalda Nimwada,Authorize Supplier's Invoice payment,Karalda Nimwada,Authorize Supplier's Invoice payment,Karalda Nimwada,2011-01-04 15:13:00-05:00,2011-01-04 15:13:00-05:00,0.0,1,Variant 2,2,Fluxicon Disco
Pay Invoice,Pedro Alvares,Pay Invoice,Pedro Alvares,Pay Invoice,Pedro Alvares,Pay Invoice,Pedro Alvares,2011-01-04 15:22:00-05:00,2011-01-04 15:31:00-05:00,540.0,1,Variant 2,2,Fluxicon Disco
Create Purchase Requisition,Immanuel Karagianni,Create Purchase Requisition,Immanuel Karagianni,Create Purchase Requisition,Immanuel Karagianni,Create Purchase Requisition,Immanuel Karagianni,2011-01-01 00:16:00-05:00,2011-01-01 00:29:00-05:00,780.0,2,Variant 20,20,Fluxicon Disco
Create Request for Quotation,Alberto Duport,Create Request for Quotation,Alberto Duport,Create Request for Quotation,Alberto Duport,Create Request for Quotation,Alberto Duport,2011-01-01 08:16:00-05:00,2011-01-01 08:26:00-05:00,600.0,2,Variant 20,20,Fluxicon Disco
Analyze Request for Quotation,Karel de Groot,Analyze Request for Quotation,Karel de Groot,Analyze Request for Quotation,Karel de Groot,Analyze Request for Quotation,Karel de Groot,2011-01-01 09:34:00-05:00,2011-01-01 09:38:00-05:00,240.0,2,Variant 20,20,Fluxicon Disco
Amend Request for Quotation,Christian Francois,Amend Request for Quotation,Christian Francois,Amend Request for Quotation,Christian Francois,Amend Request for Quotation,Christian Francois,2011-01-01 10:16:00-05:00,2011-01-01 10:21:00-05:00,300.0,2,Variant 20,20,Fluxicon Disco
Analyze Request for Quotation,Magdalena Predutta,Analyze Request for Quotation,Magdalena Predutta,Analyze Request for Quotation,Magdalena Predutta,Analyze Request for Quotation,Magdalena Predutta,2011-01-01 11:15:00-05:00,2011-01-01 11:48:00-05:00,1980.0,2,Variant 20,20,Fluxicon Disco
Amend Request for Quotation,Esmana Liubiata,Amend Request for Quotation,Esmana Liubiata,Amend Request for Quotation,Esmana Liubiata,Amend Request for Quotation,Esmana Liubiata,2011-01-01 12:33:00-05:00,2011-01-01 12:39:00-05:00,360.0,2,Variant 20,20,Fluxicon Disco
Analyze Request for Quotation,Karel de Groot,Analyze Request for Quotation,Karel de Groot,Analyze Request for Quotation,Karel de Groot,Analyze Request for Quotation,Karel de Groot,2011-01-01 13:28:00-05:00,2011-01-01 13:38:00-05:00,600.0,2,Variant 20,20,Fluxicon Disco
Send Request for Quotation to Supplier,Francois de Perrier,Send Request for Quotation to Supplier,Francois de Perrier,Send Request for Quotation to Supplier,Francois de Perrier,Send Request for Quotation to Supplier,Francois de Perrier,2011-01-01 15:18:00-05:00,2011-01-01 15:40:00-05:00,1320.0,2,Variant 20,20,Fluxicon Disco
Create Quotation comparison Map,Karel de Groot,Create Quotation comparison Map,Karel de Groot,Create Quotation comparison Map,Karel de Groot,Create Quotation comparison Map,Karel de Groot,2011-01-01 15:55:00-05:00,2011-01-01 16:43:00-05:00,2880.0,2,Variant 20,20,Fluxicon Disco
Analyze Quotation Comparison Map,Esmana Liubiata,Analyze Quotation Comparison Map,Esmana Liubiata,Analyze Quotation Comparison Map,Esmana Liubiata,Analyze Quotation Comparison Map,Esmana Liubiata,2011-01-01 23:33:00-05:00,2011-01-01 23:44:00-05:00,660.0,2,Variant 20,20,Fluxicon Disco
Choose best option,Fjodor Kowalski,Choose best option,Fjodor Kowalski,Choose best option,Fjodor Kowalski,Choose best option,Fjodor Kowalski,2011-01-01 23:44:00-05:00,2011-01-01 23:44:00-05:00,0.0,2,Variant 20,20,Fluxicon Disco
Settle Conditions With Supplier,Magdalena Predutta,Settle Conditions With Supplier,Magdalena Predutta,Settle Conditions With Supplier,Magdalena Predutta,Settle Conditions With Supplier,Magdalena Predutta,2011-01-02 02:15:00-05:00,2011-01-02 15:07:00-05:00,46320.0,2,Variant 20,20,Fluxicon Disco
Create Purchase Order,Magdalena Predutta,Create Purchase Order,Magdalena Predutta,Create Purchase Order,Magdalena Predutta,Create Purchase Order,Magdalena Predutta,2011-01-02 16:21:00-05:00,2011-01-02 16:31:00-05:00,600.0,2,Variant 20,20,Fluxicon Disco
Confirm Purchase Order,Esmeralda Clay,Confirm Purchase Order,Esmeralda Clay,Confirm Purchase Order,Esmeralda Clay,Confirm Purchase Order,Esmeralda Clay,2011-01-02 20:23:00-05:00,2011-01-02 20:29:00-05:00,360.0,2,Variant 20,20,Fluxicon Disco
Deliver Goods Services,Esmeralda Clay,Deliver Goods Services,Esmeralda Clay,Deliver Goods Services,Esmeralda Clay,Deliver Goods Services,Esmeralda Clay,2011-01-03 03:15:00-05:00,2011-01-04 14:53:00-05:00,128280.0,2,Variant 20,20,Fluxicon Disco
Release Purchase Order,Elvira Lores,Release Purchase Order,Elvira Lores,Release Purchase Order,Elvira Lores,Release Purchase Order,Elvira Lores,2011-01-04 23:01:00-05:00,2011-01-04 23:02:00-05:00,60.0,2,Variant 20,20,Fluxicon Disco
Approve Purchase Order for payment,Karel de Groot,Approve Purchase Order for payment,Karel de Groot,Approve Purchase Order for payment,Karel de Groot,Approve Purchase Order for payment,Karel de Groot,2011-01-05 09:03:00-05:00,2011-01-05 09:04:00-05:00,60.0,2,Variant 20,20,Fluxicon Disco
Send Invoice,Esmeralda Clay,Send Invoice,Esmeralda Clay,Send Invoice,Esmeralda Clay,Send Invoice,Esmeralda Clay,2011-01-05 14:50:00-05:00,2011-01-05 14:50:00-05:00,0.0,2,Variant 20,20,Fluxicon Disco
Release Supplier's Invoice,Pedro Alvares,Release Supplier's Invoice,Pedro Alvares,Release Supplier's Invoice,Pedro Alvares,Release Supplier's Invoice,Pedro Alvares,2011-01-06 05:04:00-05:00,2011-01-06 05:07:00-05:00,180.0,2,Variant 20,20,Fluxicon Disco
Settle Dispute With Supplier,Karalda Nimwada,Settle Dispute With Supplier,Karalda Nimwada,Settle Dispute With Supplier,Karalda Nimwada,Settle Dispute With Supplier,Karalda Nimwada,2011-01-06 05:38:00-05:00,2011-01-06 05:58:00-05:00,1200.0,2,Variant 20,20,Fluxicon Disco
Authorize Supplier's Invoice payment,Pedro Alvares,Authorize Supplier's Invoice payment,Pedro Alvares,Authorize Supplier's Invoice payment,Pedro Alvares,Authorize Supplier's Invoice payment,Pedro Alvares,2011-01-06 05:58:00-05:00,2011-01-06 05:58:00-05:00,0.0,2,Variant 20,20,Fluxicon Disco
Pay Invoice,Karalda Nimwada,Pay Invoice,Karalda Nimwada,Pay Invoice,Karalda Nimwada,Pay Invoice,Karalda Nimwada,2011-01-06 06:21:00-05:00,2011-01-06 06:32:00-05:00,660.0,2,Variant 20,20,Fluxicon Disco
Create Purchase Requisition,Kim Passa,Create Purchase Requisition,Kim Passa,Create Purchase Requisition,Kim Passa,Create Purchase Requisition,Kim Passa,2011-01-01 02:23:00-05:00,2011-01-01 03:03:00-05:00,2400.0,3,Variant 1,1,Fluxicon Disco
Analyze Purchase Requisition,Heinz Gutschmidt,Analyze Purchase Requisition,Heinz Gutschmidt,Analyze Purchase Requisition,Heinz Gutschmidt,Analyze Purchase Requisition,Heinz Gutschmidt,2011-01-02 01:50:00-05:00,2011-01-02 01:58:00-05:00,480.0,3,Variant 1,1,Fluxicon Disco
Create Request for Quotation,Francis Odell,Create Request for Quotation,Francis Odell,Create Request for Quotation,Francis Odell,Create Request for Quotation,Francis Odell,2011-01-02 02:01:00-05:00,2011-01-02 02:03:00-05:00,120.0,3,Variant 1,1,Fluxicon Disco
Analyze Request for Quotation,Karel de Groot,Analyze Request for Quotation,Karel de Groot,Analyze Request for Quotation,Karel de Groot,Analyze Request for Quotation,Karel de Groot,2011-01-02 03:27:00-05:00,2011-01-02 03:48:00-05:00,1260.0,3,Variant 1,1,Fluxicon Disco
Send Request for Quotation to Supplier,Magdalena Predutta,Send Request for Quotation to Supplier,Magdalena Predutta,Send Request for Quotation to Supplier,Magdalena Predutta,Send Request for Quotation to Supplier,Magdalena Predutta,2011-01-02 15:29:00-05:00,2011-01-02 15:55:00-05:00,1560.0,3,Variant 1,1,Fluxicon Disco
Create Quotation comparison Map,Francois de Perrier,Create Quotation comparison Map,Francois de Perrier,Create Quotation comparison Map,Francois de Perrier,Create Quotation comparison Map,Francois de Perrier,2011-01-02 16:00:00-05:00,2011-01-02 21:00:00-05:00,18000.0,3,Variant 1,1,Fluxicon Disco
Analyze Quotation Comparison Map,Clement Duchot,Analyze Quotation Comparison Map,Clement Duchot,Analyze Quotation Comparison Map,Clement Duchot,Analyze Quotation Comparison Map,Clement Duchot,2011-01-03 03:18:00-05:00,2011-01-03 03:47:00-05:00,1740.0,3,Variant 1,1,Fluxicon Disco
Choose best option,Christian Francois,Choose best option,Christian Francois,Choose best option,Christian Francois,Choose best option,Christian Francois,2011-01-03 03:47:00-05:00,2011-01-03 03:47:00-05:00,0.0,3,Variant 1,1,Fluxicon Disco
Settle Conditions With Supplier,Francois de Perrier,Settle Conditions With Supplier,Francois de Perrier,Settle Conditions With Supplier,Francois de Perrier,Settle Conditions With Supplier,Francois de Perrier,2011-01-03 14:14:00-05:00,2011-01-03 22:16:00-05:00,28920.0,3,Variant 1,1,Fluxicon Disco
Create Purchase Order,Francois de Perrier,Create Purchase Order,Francois de Perrier,Create Purchase Order,Francois de Perrier,Create Purchase Order,Francois de Perrier,2011-01-03 23:51:00-05:00,2011-01-03 23:59:00-05:00,480.0,3,Variant 1,1,Fluxicon Disco
Confirm Purchase Order,Karen Clarens,Confirm Purchase Order,Karen Clarens,Confirm Purchase Order,Karen Clarens,Confirm Purchase Order,Karen Clarens,2011-01-04 03:47:00-05:00,2011-01-04 04:10:00-05:00,1380.0,3,Variant 1,1,Fluxicon Disco
Deliver Goods Services,Esmeralda Clay,Deliver Goods Services,Esmeralda Clay,Deliver Goods Services,Esmeralda Clay,Deliver Goods Services,Esmeralda Clay,2011-01-04 14:53:00-05:00,2011-01-05 14:20:00-05:00,84420.0,3,Variant 1,1,Fluxicon Disco
Release Purchase Order,Elvira Lores,Release Purchase Order,Elvira Lores,Release Purchase Order,Elvira Lores,Release Purchase Order,Elvira Lores,2011-01-05 21:54:00-05:00,2011-01-05 21:55:00-05:00,60.0,3,Variant 1,1,Fluxicon Disco
Approve Purchase Order for payment,Francois de Perrier,Approve Purchase Order for payment,Francois de Perrier,Approve Purchase Order for payment,Francois de Perrier,Approve Purchase Order for payment,Francois de Perrier,2011-01-06 13:46:00-05:00,2011-01-06 13:47:00-05:00,60.0,3,Variant 1,1,Fluxicon Disco
Send Invoice,Kiu Kan,Send Invoice,Kiu Kan,Send Invoice,Kiu Kan,Send Invoice,Kiu Kan,2011-01-07 01:33:00-05:00,2011-01-07 01:33:00-05:00,0.0,3,Variant 1,1,Fluxicon Disco
Release Supplier's Invoice,Karalda Nimwada,Release Supplier's Invoice,Karalda Nimwada,Release Supplier's Invoice,Karalda Nimwada,Release Supplier's Invoice,Karalda Nimwada,2011-01-07 15:51:00-05:00,2011-01-07 15:55:00-05:00,240.0,3,Variant 1,1,Fluxicon Disco
Authorize Supplier's Invoice payment,Karalda Nimwada,Authorize Supplier's Invoice payment,Karalda Nimwada,Authorize Supplier's Invoice payment,Karalda Nimwada,Authorize Supplier's Invoice payment,Karalda Nimwada,2011-01-07 15:55:00-05:00,2011-01-07 15:55:00-05:00,0.0,3,Variant 1,1,Fluxicon Disco
Pay Invoice,Karalda Nimwada,Pay Invoice,Karalda Nimwada,Pay Invoice,Karalda Nimwada,Pay Invoice,Karalda Nimwada,2011-01-07 16:24:00-05:00,2011-01-07 16:31:00-05:00,420.0,3,Variant 1,1,Fluxicon Disco
Create Purchase Requisition,Fjodor Kowalski,Create Purchase Requisition,Fjodor Kowalski,Create Purchase Requisition,Fjodor Kowalski,Create Purchase Requisition,Fjodor Kowalski,2011-01-01 08:39:00-05:00,2011-01-01 09:00:00-05:00,1260.0,4,Variant 37,37,Fluxicon Disco
Analyze Purchase Requisition,Maris Freeman,Analyze Purchase Requisition,Maris Freeman,Analyze Purchase Requisition,Maris Freeman,Analyze Purchase Requisition,Maris Freeman,2011-01-01 18:45:00-05:00,2011-01-01 18:51:00-05:00,360.0,4,Variant 37,37,Fluxicon Disco
Create Request for Quotation,Heinz Gutschmidt,Create Request for Quotation,Heinz Gutschmidt,Create Request for Quotation,Heinz Gutschmidt,Create Request for Quotation,Heinz Gutschmidt,2011-01-01 18:56:00-05:00,2011-01-01 18:58:00-05:00,120.0,4,Variant 37,37,Fluxicon Disco
Analyze Request for Quotation,Francois de Perrier,Analyze Request for Quotation,Francois de Perrier,Analyze Request for Quotation,Francois de Perrier,Analyze Request for Quotation,Francois de Perrier,2011-01-01 19:58:00-05:00,2011-01-01 20:19:00-05:00,1260.0,4,Variant 37,37,Fluxicon Disco
Amend Request for Quotation,Nico Ojenbeer,Amend Request for Quotation,Nico Ojenbeer,Amend Request for Quotation,Nico Ojenbeer,Amend Request for Quotation,Nico Ojenbeer,2011-01-01 21:06:00-05:00,2011-01-01 21:14:00-05:00,480.0,4,Variant 37,37,Fluxicon Disco
Analyze Request for Quotation,Francois de Perrier,Analyze Request for Quotation,Francois de Perrier,Analyze Request for Quotation,Francois de Perrier,Analyze Request for Quotation,Francois de Perrier,2011-01-01 22:01:00-05:00,2011-01-01 22:24:00-05:00,1380.0,4,Variant 37,37,Fluxicon Disco
Send Request for Quotation to Supplier,Karel de Groot,Send Request for Quotation to Supplier,Karel de Groot,Send Request for Quotation to Supplier,Karel de Groot,Send Request for Quotation to Supplier,Karel de Groot,2011-01-02 02:42:00-05:00,2011-01-02 03:01:00-05:00,1140.0,4,Variant 37,37,Fluxicon Disco
Create Quotation comparison Map,Karel de Groot,Create Quotation comparison Map,Karel de Groot,Create Quotation comparison Map,Karel de Groot,Create Quotation comparison Map,Karel de Groot,2011-01-02 03:48:00-05:00,2011-01-02 09:08:00-05:00,19200.0,4,Variant 37,37,Fluxicon Disco
Analyze Quotation Comparison Map,Elvira Lores,Analyze Quotation Comparison Map,Elvira Lores,Analyze Quotation Comparison Map,Elvira Lores,Analyze Quotation Comparison Map,Elvira Lores,2011-01-02 15:59:00-05:00,2011-01-02 16:13:00-05:00,840.0,4,Variant 37,37,Fluxicon Disco
Choose best option,Kim Passa,Choose best option,Kim Passa,Choose best option,Kim Passa,Choose best option,Kim Passa,2011-01-02 16:13:00-05:00,2011-01-02 16:13:00-05:00,0.0,4,Variant 37,37,Fluxicon Disco
Settle Conditions With Supplier,Magdalena Predutta,Settle Conditions With Supplier,Magdalena Predutta,Settle Conditions With Supplier,Magdalena Predutta,Settle Conditions With Supplier,Magdalena Predutta,2011-01-02 19:13:00-05:00,2011-01-03 07:45:00-05:00,45120.0,4,Variant 37,37,Fluxicon Disco
Create Purchase Order,Magdalena Predutta,Create Purchase Order,Magdalena Predutta,Create Purchase Order,Magdalena Predutta,Create Purchase Order,Magdalena Predutta,2011-01-03 12:08:00-05:00,2011-01-03 12:17:00-05:00,540.0,4,Variant 37,37,Fluxicon Disco
Confirm Purchase Order,Carmen Finacse,Confirm Purchase Order,Carmen Finacse,Confirm Purchase Order,Carmen Finacse,Confirm Purchase Order,Carmen Finacse,2011-01-03 16:13:00-05:00,2011-01-03 16:38:00-05:00,1500.0,4,Variant 37,37,Fluxicon Disco
Deliver Goods Services,Carmen Finacse,Deliver Goods Services,Carmen Finacse,Deliver Goods Services,Carmen Finacse,Deliver Goods Services,Carmen Finacse,2011-01-03 23:05:00-05:00,2011-01-05 02:30:00-05:00,98700.0,4,Variant 37,37,Fluxicon Disco
Release Purchase Order,Miu Hanwan,Release Purchase Order,Miu Hanwan,Release Purchase Order,Miu Hanwan,Release Purchase Order,Miu Hanwan,2011-01-05 09:57:00-05:00,2011-01-05 09:58:00-05:00,60.0,4,Variant 37,37,Fluxicon Disco
Approve Purchase Order for payment,Magdalena Predutta,Approve Purchase Order for payment,Magdalena Predutta,Approve Purchase Order for payment,Magdalena Predutta,Approve Purchase Order for payment,Magdalena Predutta,2011-01-06 00:29:00-05:00,2011-01-06 00:30:00-05:00,60.0,4,Variant 37,37,Fluxicon Disco
Send Invoice,Esmeralda Clay,Send Invoice,Esmeralda Clay,Send Invoice,Esmeralda Clay,Send Invoice,Esmeralda Clay,2011-01-06 06:13:00-05:00,2011-01-06 06:13:00-05:00,0.0,4,Variant 37,37,Fluxicon Disco
Authorize Supplier's Invoice payment,Pedro Alvares,Authorize Supplier's Invoice payment,Pedro Alvares,Authorize Supplier's Invoice payment,Pedro Alvares,Authorize Supplier's Invoice payment,Pedro Alvares,2011-01-06 20:39:00-05:00,2011-01-06 20:39:00-05:00,0.0,4,Variant 37,37,Fluxicon Disco
Pay Invoice,Karalda Nimwada,Pay Invoice,Karalda Nimwada,Pay Invoice,Karalda Nimwada,Pay Invoice,Karalda Nimwada,2011-01-06 21:25:00-05:00,2011-01-06 21:32:00-05:00,420.0,4,Variant 37,37,Fluxicon Disco
Create Purchase Requisition,Esmana Liubiata,Create Purchase Requisition,Esmana Liubiata,Create Purchase Requisition,Esmana Liubiata,Create Purchase Requisition,Esmana Liubiata,2011-01-01 09:49:00-05:00,2011-01-01 10:35:00-05:00,2760.0,5,Variant 37,37,Fluxicon Disco
Analyze Purchase Requisition,Maris Freeman,Analyze Purchase Requisition,Maris Freeman,Analyze Purchase Requisition,Maris Freeman,Analyze Purchase Requisition,Maris Freeman,2011-01-02 01:50:00-05:00,2011-01-02 01:57:00-05:00,420.0,5,Variant 37,37,Fluxicon Disco
Create Request for Quotation,Maris Freeman,Create Request for Quotation,Maris Freeman,Create Request for Quotation,Maris Freeman,Create Request for Quotation,Maris Freeman,2011-01-02 02:05:00-05:00,2011-01-02 02:06:00-05:00,60.0,5,Variant 37,37,Fluxicon Disco
Analyze Request for Quotation,Karel de Groot,Analyze Request for Quotation,Karel de Groot,Analyze Request for Quotation,Karel de Groot,Analyze Request for Quotation,Karel de Groot,2011-01-02 03:02:00-05:00,2011-01-02 03:27:00-05:00,1500.0,5,Variant 37,37,Fluxicon Disco
Amend Request for Quotation,Anne Olwada,Amend Request for Quotation,Anne Olwada,Amend Request for Quotation,Anne Olwada,Amend Request for Quotation,Anne Olwada,2011-01-02 04:21:00-05:00,2011-01-02 04:33:00-05:00,720.0,5,Variant 37,37,Fluxicon Disco
Analyze Request for Quotation,Karel de Groot,Analyze Request for Quotation,Karel de Groot,Analyze Request for Quotation,Karel de Groot,Analyze Request for Quotation,Karel de Groot,2011-01-02 09:08:00-05:00,2011-01-02 09:42:00-05:00,2040.0,5,Variant 37,37,Fluxicon Disco
Send Request for Quotation to Supplier,Karel de Groot,Send Request for Quotation to Supplier,Karel de Groot,Send Request for Quotation to Supplier,Karel de Groot,Send Request for Quotation to Supplier,Karel de Groot,2011-01-02 18:49:00-05:00,2011-01-02 19:21:00-05:00,1920.0,5,Variant 37,37,Fluxicon Disco
Create Quotation comparison Map,Karel de Groot,Create Quotation comparison Map,Karel de Groot,Create Quotation comparison Map,Karel de Groot,Create Quotation comparison Map,Karel de Groot,2011-01-02 19:36:00-05:00,2011-01-02 20:14:00-05:00,2280.0,5,Variant 37,37,Fluxicon Disco
Analyze Quotation Comparison Map,Anne Olwada,Analyze Quotation Comparison Map,Anne Olwada,Analyze Quotation Comparison Map,Anne Olwada,Analyze Quotation Comparison Map,Anne Olwada,2011-01-03 03:18:00-05:00,2011-01-03 03:30:00-05:00,720.0,5,Variant 37,37,Fluxicon Disco
Choose best option,Nico Ojenbeer,Choose best option,Nico Ojenbeer,Choose best option,Nico Ojenbeer,Choose best option,Nico Ojenbeer,2011-01-03 03:30:00-05:00,2011-01-03 03:30:00-05:00,0.0,5,Variant 37,37,Fluxicon Disco
Settle Conditions With Supplier,Magdalena Predutta,Settle Conditions With Supplier,Magdalena Predutta,Settle Conditions With Supplier,Magdalena Predutta,Settle Conditions With Supplier,Magdalena Predutta,2011-01-03 13:18:00-05:00,2011-01-03 19:12:00-05:00,21240.0,5,Variant 37,37,Fluxicon Disco
Create Purchase Order,Karel de Groot,Create Purchase Order,Karel de Groot,Create Purchase Order,Karel de Groot,Create Purchase Order,Karel de Groot,2011-01-03 21:01:00-05:00,2011-01-03 21:09:00-05:00,480.0,5,Variant 37,37,Fluxicon Disco
Confirm Purchase Order,Karen Clarens,Confirm Purchase Order,Karen Clarens,Confirm Purchase Order,Karen Clarens,Confirm Purchase Order,Karen Clarens,2011-01-04 01:02:00-05:00,2011-01-04 01:24:00-05:00,1320.0,5,Variant 37,37,Fluxicon Disco
Deliver Goods Services,Kiu Kan,Deliver Goods Services,Kiu Kan,Deliver Goods Services,Kiu Kan,Deliver Goods Services,Kiu Kan,2011-01-04 09:08:00-05:00,2011-01-05 04:37:00-05:00,70140.0,5,Variant 37,37,Fluxicon Disco
Release Purchase Order,Anna Kaufmann,Release Purchase Order,Anna Kaufmann,Release Purchase Order,Anna Kaufmann,Release Purchase Order,Anna Kaufmann,2011-01-05 12:13:00-05:00,2011-01-05 12:14:00-05:00,60.0,5,Variant 37,37,Fluxicon Disco
Approve Purchase Order for payment,Francois de Perrier,Approve Purchase Order for payment,Francois de Perrier,Approve Purchase Order for payment,Francois de Perrier,Approve Purchase Order for payment,Francois de Perrier,2011-01-06 02:41:00-05:00,2011-01-06 02:42:00-05:00,60.0,5,Variant 37,37,Fluxicon Disco
Send Invoice,Esmeralda Clay,Send Invoice,Esmeralda Clay,Send Invoice,Esmeralda Clay,Send Invoice,Esmeralda Clay,2011-01-06 08:23:00-05:00,2011-01-06 08:23:00-05:00,0.0,5,Variant 37,37,Fluxicon Disco
Authorize Supplier's Invoice payment,Karalda Nimwada,Authorize Supplier's Invoice payment,Karalda Nimwada,Authorize Supplier's Invoice payment,Karalda Nimwada,Authorize Supplier's Invoice payment,Karalda Nimwada,2011-01-06 22:47:00-05:00,2011-01-06 22:47:00-05:00,0.0,5,Variant 37,37,Fluxicon Disco
Pay Invoice,Karalda Nimwada,Pay Invoice,Karalda Nimwada,Pay Invoice,Karalda Nimwada,Pay Invoice,Karalda Nimwada,2011-01-06 22:55:00-05:00,2011-01-06 23:04:00-05:00,540.0,5,Variant 37,37,Fluxicon Disco
Create Purchase Requisition,Christian Francois,Create Purchase Requisition,Christian Francois,Create Purchase Requisition,Christian Francois,Create Purchase Requisition,Christian Francois,2011-01-01 11:20:00-05:00,2011-01-01 11:37:00-05:00,1020.0,6,Variant 10,10,Fluxicon Disco
Create Request for Quotation,Alberto Duport,Create Request for Quotation,Alberto Duport,Create Request for Quotation,Alberto Duport,Create Request for Quotation,Alberto Duport,2011-01-01 17:32:00-05:00,2011-01-01 17:45:00-05:00,780.0,6,Variant 10,10,Fluxicon Disco
Analyze Request for Quotation,Magdalena Predutta,Analyze Request for Quotation,Magdalena Predutta,Analyze Request for Quotation,Magdalena Predutta,Analyze Request for Quotation,Magdalena Predutta,2011-01-01 18:39:00-05:00,2011-01-01 18:55:00-05:00,960.0,6,Variant 10,10,Fluxicon Disco
Amend Request for Quotation,Penn Osterwalder,Amend Request for Quotation,Penn Osterwalder,Amend Request for Quotation,Penn Osterwalder,Amend Request for Quotation,Penn Osterwalder,2011-01-01 19:47:00-05:00,2011-01-01 19:55:00-05:00,480.0,6,Variant 10,10,Fluxicon Disco
